Number,Region,Volcano Name,Latitude (volcano!db),Longitude (volcano!db)
1209-01-,US-Arizona,Uinkaret Field,36.38,-113.13
1208-01-,US-Colorado,Dotsero,39.65,-107.03
1207-05-,US-Utah,Black Rock Desert,38.97,-112.5
1207-04-,US-Utah,Markagunt Plateau,37.58,-112.67
1207-03-,US-Utah,Bald Knoll,37.328,-112.408
1207-01-,US-Utah,Santa Clara,37.257,-113.625
1206-01-,US-Nevada,Steamboat Springs,39.375,-119.72
1205-01-,US-Wyoming,Yellowstone,44.43,-110.67
1204-04-,US-Idaho,Hell's Half Acre,43.5,-112.45
1204-03-,US-Idaho,Wapi Lava Field,42.88,-113.22
1204-02-,US-Idaho,Craters of the Moon,43.42,-113.5
1204-01-,US-Idaho,Shoshone Lava Field,43.07,-114.43
1203-20-,US-California,Amboy,34.55,-115.78
1203-19-,US-California,Lavic Lake,34.75,-116.625
1203-18-,US-California,Coso Volc Field,36.03,-117.82
1203-17-,US-California,Golden Trout Creek,36.358,-118.32
1203-16-,US-California,Ubehebe Craters,37.02,-117.45
1203-15-,US-California,Red Cones,37.58,-119.05
1203-13-,US-California,Inyo Craters,37.692,-119.02
1203-12-,US-California,Mono Craters,37.88,-119
1203-11-,US-California,Mono Lake Volc Field,38,-119.03
1203-10-,US-California,Clear Lake,38.97,-122.77
1203-09-,US-California,Eagle Lake Field,40.63,-120.83
1203-08-,US-California,Lassen Volc Center,40.492,-121.508
1203-06-,US-California,Tumble Buttes,40.68,-121.55
1203-05-,US-California,Twin Buttes,40.78,-121.6
1203-04-,US-California,Big Cave,40.955,-121.365
1203-03-,US-California,Brushy Butte,41.178,-121.443
1203-02-,US-California,Medicine Lake,41.58,-121.57
1203-01-,US-California,Shasta,41.42,-122.2
1202-19-,US-Oregon,Jordan Craters,43.03,-117.42
1202-17-,US-Oregon,Diamond Craters,43.1,-118.75
1202-16-,US-Oregon,Crater Lake,42.93,-122.12
1202-15-,US-Oregon,Cinnamon Butte,43.241,-122.108
1202-14-,US-Oregon,Four Craters Lava Field,43.361,-120.669
1202-13-,US-Oregon,Squaw Ridge Field,43.472,-120.754
1202-12-,US-Oregon,Devils Garden,43.512,-120.861
1202-11-,US-Oregon,Newberry Volcano,43.722,-121.229
1202-10-,US-Oregon,Davis Lake,43.57,-121.82
1202-09-,US-Oregon,Bachelor,43.979,-121.688
1202-08-,US-Oregon,South Sister,44.1,-121.77
1202-07-,US-Oregon,North Sister Field,44.17,-121.77
1202-06-,US-Oregon,Belknap,44.285,-121.841
1202-04-,US-Oregon,Sand Mountain Field,44.38,-121.93
1202-03-,US-Oregon,Blue Lake Crater,44.42,-121.77
1202-02-,US-Oregon,Jefferson,44.692,-121.8
1202-01-,US-Oregon,Hood,45.374,-121.694
1201-07-,US-Washington,Indian Heaven,45.93,-121.82
1201-06-,US-Washington,West Crater,45.88,-122.08
1201-05-,US-Washington,St. Helens,46.2,-122.18
1201-04-,US-Washington,Adams,46.206,-121.49
1201-03-,US-Washington,Rainier,46.87,-121.758
1201-02-,US-Washington,Glacier Peak,48.112,-121.113
1201-01=,US-Washington,Baker,48.786,-121.82
1200-031,Canada,Tuya Volc Field,59.367,-130.583
1200-20-,Canada,"Garibaldi, Mt.",49.85,-123
1200-19-,Canada,Garibaldi Lake,49.92,-123.03
1200-18-,Canada,Meager,50.63,-123.5
1200-17-,Canada,Bridge River Cones,50.8,-123.4
1200-16-,Canada,Silverthrone,51.43,-126.3
1200-15-,Canada,Wells Gray-Clearwater,52.33,-120.57
1200-14-,Canada,Nazko,52.9,-123.73
1200-13-,Canada,Satah Mountain,52.47,-124.7
1200-12-,Canada,Milbanke Sound Group,52.5,-128.73
1200-11-,Canada,Crow Lagoon,54.7,-130.23
1200-10-,Canada,Tseax River Cone,55.12,-128.9
1200-09-,Canada,Iskut-Unuk River Cones,56.58,-130.55
1200-08-,Canada,Hoodoo Mountain,56.78,-131.28
1200-07-,Canada,Spectrum Range,57.43,-130.68
1200-06-,Canada,Edziza,57.72,-130.63
1200-05-,Canada,Level Mountain,58.42,-131.35
1200-04-,Canada,Heart Peaks,58.6,-131.97
1200-03-,Canada,Ruby Mountain,59.68,-133.32
1200-02-,Canada,Alligator Lake,60.42,-135.42
1200-01-,Canada,Fort Selkirk,62.93,-137.38
1105-021,Alaska-E,Gordon,62.13,-143.08
1105-001,Alaska-E,Buzzard Creek,64.07,-148.42
1105-07-,Alaska-SE,Behm Canal-Rudyerd Bay,55.32,-131.05
1105-06-,Alaska-SE,Tlevak Strait-Suemez Is.,55.25,-133.3
1105-05-,Alaska-SE,Duncan Canal,56.5,-133.1
1105-04-,Alaska-SE,Edgecumbe,57.05,-135.75
1105-03-,Alaska-E,Bona-Churchill,61.38,-141.75
1105-02-,Alaska-E,Wrangell,62,-144.02
1105-01-,Alaska-E,Sanford,62.22,-144.13
1104-06-,Alaska-W,Nunivak Island,60.02,-166.33
1104-05-,Alaska-W,Ingakslugwat Hills,61.43,-164.47
1104-04-,Alaska-W,St. Michael,63.45,-162.12
1104-03-,Alaska-W,Kookooligit Mountains,63.6,-170.43
1104-02-,Alaska-W,Imuruk Lake,65.6,-163.92
1104-01-,Alaska-W,Espenberg,66.35,-164.33
1103-05-,Alaska-SW,Hayes,61.62,-152.48
1103-04-,Alaska-SW,Spurr,61.3,-152.25
1103-03-,Alaska-SW,Redoubt,60.48,-152.75
1103-02-,Alaska-SW,Iliamna,60.03,-153.08
1103-01-,Alaska-SW,Augustine,59.37,-153.42
1102-132,Alaska Peninsula,Unnamed,57.87,-155.42
1102-131,Alaska Peninsula,Ukinrek Maars,57.83,-156.52
1102-053,Alaska Peninsula,Stepovak Bay 4,55.954,-159.954
1102-052,Alaska Peninsula,Stepovak Bay 3,55.929,-160.002
1102-051,Alaska Peninsula,Unnamed,55.93,-160
1102-011,Alaska Peninsula,Dutton,55.18,-162.27
1102-27-,Alaska Peninsula,Douglas,58.87,-153.55
1102-26-,Alaska Peninsula,Fourpeaked,58.77,-153.68
1102-25-,Alaska Peninsula,Kaguyak,58.62,-154.05
1102-23-,Alaska Peninsula,Kukak,58.47,-154.35
1102-22-,Alaska Peninsula,Steller,58.43,-154.4
1102-21-,Alaska Peninsula,Denison,58.42,-154.45
1102-20-,Alaska Peninsula,Snowy,58.33,-154.68
1102-19-,Alaska Peninsula,Griggs,58.35,-155.1
1102-18-,Alaska Peninsula,Novarupta,58.27,-155.16
1102-17-,Alaska Peninsula,Katmai,58.27,-154.98
1102-16-,Alaska Peninsula,Trident,58.23,-155.08
1102-15-,Alaska Peninsula,Mageik,58.2,-155.25
1102-14-,Alaska Peninsula,Martin,58.17,-155.35
1102-13-,Alaska Peninsula,Ugashik-Peulik,57.75,-156.37
1102-12-,Alaska Peninsula,Kialagvik,57.38,-156.75
1102-11-,Alaska Peninsula,Chiginagak,57.13,-157
1102-10-,Alaska Peninsula,Yantarni,57.02,-157.18
1102-09-,Alaska Peninsula,Aniakchak,56.88,-158.17
1102-08-,Alaska Peninsula,Black Peak,56.53,-158.8
1102-07-,Alaska Peninsula,Veniaminof,56.17,-159.38
1102-06-,Alaska Peninsula,Kupreanof,56.02,-159.8
1102-05-,Alaska Peninsula,Dana,55.62,-161.22
1102-04-,Alaska Peninsula,Pavlof Sister,55.45,-161.87
1102-03-,Alaska Peninsula,Pavlof,55.42,-161.9
1102-02-,Alaska Peninsula,Emmons Lake,55.33,-162.07
1102-01-,Alaska Peninsula,Frosty,55.07,-162.82
1101-241,Aleutian Is,Tana,52.833,-169.767
1101-111,Aleutian Is,Moffett,51.93,-176.75
1101-39-,Aleutian Is,Amak,55.42,-163.15
1101-38-,Aleutian Is,Roundtop,54.8,-163.6
1101-37-,Aleutian Is,Isanotski,54.75,-163.73
1101-36-,Aleutian Is,Shishaldin,54.75,-163.97
1101-35-,Aleutian Is,Fisher,54.67,-164.35
1101-34-,Aleutian Is,Westdahl,54.52,-164.65
1101-32-,Aleutian Is,Akutan,54.13,-165.97
1101-31-,Aleutian Is,Makushin,53.9,-166.93
1101-30-,Aleutian Is,Bogoslof,53.93,-168.03
1101-29-,Aleutian Is,Okmok,53.42,-168.13
1101-28-,Aleutian Is,Recheschnoi,53.15,-168.55
1101-27-,Aleutian Is,Vsevidof,53.13,-168.68
1101-26-,Aleutian Is,Kagamil,52.97,-169.72
1101-25-,Aleutian Is,Uliaga,53.07,-169.77
1101-24-,Aleutian Is,Cleveland,52.82,-169.95
1101-23-,Aleutian Is,Carlisle,52.9,-170.05
1101-22-,Aleutian Is,Herbert,52.75,-170.12
1101-21-,Aleutian Is,Yunaska,52.63,-170.63
1101-20-,Aleutian Is,Chagulak,52.57,-171.13
1101-19-,Aleutian Is,Amukta,52.5,-171.25
1101-18-,Aleutian Is,Seguam,52.32,-172.52
1101-17-,Aleutian Is,Unnamed,52,-173.5
1101-16-,Aleutian Is,Atka,52.38,-174.15
1101-15-,Aleutian Is,Sergief,52.03,-174.93
1101-14-,Aleutian Is,Koniuji,52.22,-175.13
1101-13-,Aleutian Is,Kasatochi,52.18,-175.5
1101-12-,Aleutian Is,Great Sitkin,52.08,-176.13
1101-11-,Aleutian Is,Kanaga,51.92,-177.17
1101-10-,Aleutian Is,Bobrof,51.9,-177.43
1101-09-,Aleutian Is,Takawangha,51.87,-178.02
1101-08-,Aleutian Is,Tanaga,51.88,-178.13
1101-07-,Aleutian Is,Gareloi,51.78,-178.8
1101-06-,Aleutian Is,Semisopochnoi,51.95,179.62
1101-05-,Aleutian Is,Little Sitkin,51.95,178.53
1101-04-,Aleutian Is,Davidof,51.97,178.33
1101-03-,Aleutian Is,Segula,52.02,178.13
1101-02-,Aleutian Is,Kiska,52.1,177.6
1101-01-,Aleutian Is,Buldir,52.37,175.98
1006-04-,Korea,Halla,33.37,126.53
1006-03-,Korea,Ulreung,37.5,130.87
1006-02-,Korea,Ch'uga-ryong,38.33,127.33
1006-01-,Korea,Xianjindao,41.33,128
1005-011,China-E,Arshan,47.5,120.7
1005-06-,China-E,Changbaishan,41.98,128.08
1005-05-,China-E,Longgang Group,42.33,126.5
1005-04-,China-E,Jingpohu,44.08,128.83
1005-03-,China-E,Wudalianchi,48.72,126.12
1005-02-,China-E,Keluo Group,49.37,125.92
1005-01-,China-E,Honggeertu,41.47,113
1004-04-,China-W,Unnamed,35.85,91.7
1004-03-,China-W,Kunlun Volc Group,35.52,80.2
1004-02-,China-W,Tianshan Volc Group,42.5,82.5
1004-01-,China-W,Turfan,42.9,89.25
1003-05-,Mongolia,Middle Gobi,45.28,106.7
1003-04-,Mongolia,Dariganga Volc Field,45.33,114
1003-03-,Mongolia,Bus-Obo,47.12,109.08
1003-02-,Mongolia,Khanuy Gol,48.67,102.75
1003-01-,Mongolia,Taryatu-Chulutu,48.17,99.7
1002-07-,Russia-SE,Ulug-Arginsky,52.33,98
1002-06-,Russia-SE,Oka Volc Field,52.7,98.98
1002-05-,Russia-SE,Tunkin Depression,51.5,102.5
1002-04-,Russia-SE,Dgida Basin,50.52,103.25
1002-03-,Russia-SE,Udokan Volc Field,56.18,117.47
1002-01-,Russia-SE,Southern Sikhote-Alin,44.5,135.5
1000-671,Kamchatka,Spokoiny,58.133,160.817
1000-552,Kamchatka,Bliznetsy,57.35,161.367
1000-551,Kamchatka,Kinenin,57.35,160.967
1000-512,Kamchatka,Terpuk,57.2,159.833
1000-511,Kamchatka,Shisheika,57.15,161.083
1000-273,Kamchatka,Cherpuk Group,55.55,157.467
1000-272,Kamchatka,Khangar,54.75,157.38
1000-271,Kamchatka-E of,Piip,55.42,167.33
1000-261,Kamchatka,Ushkovsky,56.105,160.47
1000-251,Kamchatka,Kamen,56.02,160.593
1000-242,Kamchatka,Zimina,55.862,160.603
1000-241,Kamchatka,Udina,55.755,160.527
1000-232,Kamchatka,Unnamed,55.92,161.75
1000-221,Kamchatka,Kolkhozhny,55.07,160.77
1000-201,Kamchatka,Schmidt,54.917,160.633
1000-125,Kamchatka,Akademia Nauk,53.983,159.45
1000-124,Kamchatka,Zavaritsky,53.905,158.385
1000-123,Kamchatka,Akademia Nauk,53.98,159.45
1000-122,Kamchatka,Bakenin,53.905,158.07
1000-121,Kamchatka,Zavaritsky,53.905,158.385
1000-087,Kamchatka,Bolshe-Bannaya,52.9,157.78
1000-086,Kamchatka,Unnamed,52.88,158.3
1000-085,Kamchatka,Unnamed,52.92,158.52
1000-084,Kamchatka,Barkhatnaya Sopka,52.823,158.27
1000-083,Kamchatka,Vilyuchik,52.68,158.3
1000-082,Kamchatka,Tolmachev Dol,52.63,157.58
1000-081,Kamchatka,Unnamed,52.57,157.02
1000-059,Kamchatka,Tundroviy,52.25,157.6
1000-058,Kamchatka,Unnamed,52.33,157.33
1000-057,Kamchatka,Otdelniy,52.22,157.428
1000-056,Kamchatka,Ostanets,52.146,157.322
1000-055,Kamchatka,Olkoviy,52.077,157.477
1000-054,Kamchatka,Piratkovsky,52.113,157.849
1000-053,Kamchatka,Khodutka,52.063,157.703
1000-052,Kamchatka,Plosky Volc Group,52.02,157.53
1000-051,Kamchatka,Ozernoy,51.88,157.38
1000-042,Kamchatka,Belenkaya,51.75,157.27
1000-041,Kamchatka,Kell,51.65,157.35
1000-023,Kamchatka,Kurile Lake,51.45,157.12
1000-022,Kamchatka,Diky Greben,51.43,157
1000-021,Kamchatka,Unnamed,51.6,156.55
1000-001,Kamchatka,Mashkovtsev,51.1,156.72
1000-72-,Kamchatka,Voyampolsky,58.37,160.62
1000-71-,Kamchatka,Iettunup,58.4,161.08
1000-70-,Kamchatka,Severny,58.28,160.87
1000-69-,Kamchatka,Snegovoy,58.2,160.97
1000-68-,Kamchatka,Ostry,58.18,160.82
1000-67-,Kamchatka,Iktunup,58.08,160.77
1000-66-,Kamchatka,Snezhniy,58.02,160.75
1000-65-,Kamchatka,Atlasova,57.97,160.65
1000-64-,Kamchatka,Bely,57.88,160.53
1000-63-,Kamchatka,Plosky,57.83,160.25
1000-62-,Kamchatka,Kaileney,57.8,160.67
1000-61-,Kamchatka,Uka,57.7,160.58
1000-60-,Kamchatka,Alngey,57.7,160.4
1000-59-,Kamchatka,Elovsky,57.53,160.53
1000-58-,Kamchatka,Shishel,57.45,160.37
1000-57-,Kamchatka,Mezhdusopochny,57.47,160.25
1000-56-,Kamchatka,Titila,57.4,160.1
1000-55-,Kamchatka,Tuzovsky,57.32,159.97
1000-54-,Kamchatka,Leutongey,57.3,159.83
1000-53-,Kamchatka,Gorny Institute,57.33,160.2
1000-52-,Kamchatka,Sedankinsky,57.23,160.08
1000-51-,Kamchatka,Fedotych,57.13,160.4
1000-50-,Kamchatka,Kebeney,57.1,159.93
1000-49-,Kamchatka,Bliznets,56.97,159.78
1000-48-,Kamchatka,Zaozerny,56.88,159.95
1000-47-,Kamchatka,Pogranychny,56.85,159.8
1000-46-,Kamchatka,Cherny,56.82,159.67
1000-45-,Kamchatka,Alney-Chashakondzha,56.7,159.65
1000-44-,Kamchatka,Verkhovoy,56.52,159.53
1000-43-,Kamchatka,Unnamed,56.82,158.95
1000-42-,Kamchatka,Eggella,56.57,158.52
1000-41-,Kamchatka,Kekurny,56.4,158.85
1000-40-,Kamchatka,Krainy,56.37,159.03
1000-39-,Kamchatka,Anaun,56.32,158.83
1000-38-,Kamchatka,Geodesistoy,56.33,158.67
1000-37-,Kamchatka,Kulkev,56.37,158.37
1000-36-,Kamchatka,Bolshoi-Kekuknaysky,56.47,157.8
1000-35-,Kamchatka,Uksichan,56.08,158.38
1000-34-,Kamchatka,Romanovka,55.65,158.8
1000-33-,Kamchatka,Kozyrevsky,55.58,158.38
1000-32-,Kamchatka,Akhtang,55.43,158.65
1000-31-,Kamchatka,Plosky,55.2,158.47
1000-30-,Kamchatka,Bolshoi Payalpan,55.88,157.78
1000-29-,Kamchatka,Maly Payalpan,55.82,157.98
1000-28=,Kamchatka,Ichinsky,55.68,157.73
1000-27=,Kamchatka,Shiveluch,56.653,161.36
1000-26=,Kamchatka,Kliuchevskoi,56.057,160.638
1000-25=,Kamchatka,Bezymianny,55.978,160.587
1000-24=,Kamchatka,Tolbachik,55.83,160.33
1000-23=,Kamchatka,Kizimen,55.13,160.32
1000-22=,Kamchatka,Komarov,55.032,160.72
1000-21=,Kamchatka,Gamchen,54.973,160.702
1000-20=,Kamchatka,Kronotsky,54.753,160.527
1000-19=,Kamchatka,Krasheninnikov,54.593,160.273
1000-18=,Kamchatka,Kikhpinych,54.487,160.253
1000-17=,Kamchatka,Uzon,54.5,159.97
1000-16-,Kamchatka,Taunshits,54.53,159.8
1000-15=,Kamchatka,Bolshoi Semiachik,54.32,160.02
1000-14=,Kamchatka,Maly Semiachik,54.13,159.67
1000-13=,Kamchatka,Karymsky,54.05,159.43
1000-12=,Kamchatka,Zhupanovsky,53.59,159.147
1000-11=,Kamchatka,Dzenzursky,53.637,158.922
1000-10=,Kamchatka,Avachinsky,53.255,158.83
1000-09=,Kamchatka,Koryaksky,53.32,158.688
1000-08=,Kamchatka,Opala,52.543,157.335
1000-07=,Kamchatka,Gorely,52.558,158.03
1000-06=,Kamchatka,Mutnovsky,52.453,158.195
1000-05=,Kamchatka,Ksudach,51.8,157.53
1000-04=,Kamchatka,Zheltovsky,51.57,157.323
1000-03=,Kamchatka,Ilyinsky,51.49,157.2
1000-02=,Kamchatka,Koshelev,51.357,156.75
1000-01=,Kamchatka,Kambalny,51.3,156.87
0900-351,Kuril Is,Lomonosov Group,50.25,155.43
0900-331,Kuril Is,Shirinki,50.2,154.98
0900-211,Kuril Is,Srednii,47.6,152.92
0900-191,Kuril Is,Urataman,47.12,152.23
0900-161,Kuril Is,Milne,46.82,151.78
0900-113,Kuril Is,Tri Sestry,45.93,149.92
0900-112,Kuril Is,Rudakov,45.88,149.83
0900-111,Kuril Is,Ivao Group,45.77,149.68
0900-091,Kuril Is,Golets-Tornyi Group,45.25,148.35
0900-061,Kuril Is,Unnamed,45.03,147.208
0900-041,Kuril Is,Lvinaya Past,44.62,147
0900-021,Kuril Is,Smirnov,44.43,146.13
0900-39=,Kuril Is,Alaid,50.858,155.55
0900-38=,Kuril Is,Ebeko,50.68,156.02
0900-37-,Kuril Is,Vernadskii Ridge,50.55,155.97
0900-36=,Kuril Is,Chikurachki,50.325,155.458
0900-35=,Kuril Is,Karpinsky Group,50.13,155.37
0900-34=,Kuril Is,Fuss Peak,50.27,155.25
0900-32=,Kuril Is,Nemo Peak,49.57,154.808
0900-31=,Kuril Is,Tao-Rusyr Caldera,49.35,154.7
0900-30=,Kuril Is,Kharimkotan,49.12,154.508
0900-29=,Kuril Is,Sinarka,48.875,154.175
0900-27=,Kuril Is,Ekarma,48.958,153.93
0900-26=,Kuril Is,Chirinkotan,48.98,153.48
0900-25=,Kuril Is,Raikoke,48.292,153.25
0900-24=,Kuril Is,Sarychev Peak,48.092,153.2
0900-23=,Kuril Is,Unnamed,48.08,153.33
0900-22=,Kuril Is,Rasshua,47.77,153.02
0900-21=,Kuril Is,Ushishur,47.52,152.8
0900-20=,Kuril Is,Ketoi,47.35,152.475
0900-19=,Kuril Is,Prevo Peak,47.02,152.12
0900-18=,Kuril Is,Zavaritzki Caldera,46.925,151.95
0900-17=,Kuril Is,Goriaschaia Sopka,46.83,151.75
0900-16-,Kuril Is,Unnamed,46.47,151.28
0900-15=,Kuril Is,Chirpoi,46.525,150.875
0900-13-,Kuril Is,Unnamed,46.1,150.5
0900-12=,Kuril Is,Kolokol Group,46.042,150.05
0900-11-,Kuril Is,Demon,45.5,148.85
0900-10=,Kuril Is,Medvezhia,45.38,148.83
0900-09=,Kuril Is,Chirip,45.38,147.92
0900-08=,Kuril Is,Baransky,45.1,148.02
0900-07=,Kuril Is,Grozny Group,45.02,147.87
0900-06-,Kuril Is,Bogatyr Ridge,44.83,147.37
0900-05=,Kuril Is,Atsonupuri,44.804,147.13
0900-04=,Kuril Is,Berutarube,44.47,146.93
0900-03=,Kuril Is,Tiatia,44.358,146.27
0900-02=,Kuril Is,Mendeleev,43.98,145.7
0900-01=,Kuril Is,Golovnin,43.85,145.53
0805-082,Hokkaido-Japan,Rausu,44.073,145.125
0805-081,Hokkaido-Japan,Mashu,43.57,144.57
0805-062,Hokkaido-Japan,Shikaribetsu Group,43.28,143.08
0805-061,Japan,Nipesotsu-Upepesanke,43.45,143.03
0805-041,Hokkaido-Japan,Rishiri,45.18,141.25
0805-034,Hokkaido-Japan,Kuttara,42.5,141.18
0805-032,Hokkaido-Japan,Yotei,42.83,140.82
0805-031,Hokkaido-Japan,Niseko,42.88,140.63
0805-011,Hokkaido-Japan,E-san,41.8,141.17
0805-09=,Hokkaido-Japan,Shiretoko-Iwo-zan,44.13,145.17
0805-08=,Hokkaido-Japan,Kutcharo,43.55,144.43
0805-07=,Hokkaido-Japan,Akan,43.38,144.02
0805-06=,Hokkaido-Japan,Daisetsu,43.68,142.88
0805-05=,Hokkaido-Japan,Tokachi,43.42,142.68
0805-04=,Hokkaido-Japan,Shikotsu,42.7,141.33
0805-03=,Hokkaido-Japan,Usu,42.53,140.83
0805-02=,Hokkaido-Japan,Komaga-take,42.07,140.68
0805-01=,Hokkaido-Japan,Oshima-Oshima,41.5,139.37
0804-211,Mariana Is-C Pacific,NW Rota-1,14.601,144.775
0804-202,Mariana Is-C Pacific,Ruby,15.617,145.567
0804-201,Mariana Is-C Pacific,Ruby,15.62,145.57
0804-192,Mariana Is-C Pacific,Sarigan,16.708,145.783
0804-191,Mariana Is-C Pacific,Sarigan,16.708,145.78
0804-143,Mariana Is-C Pacific,Maug Islands,20.017,145.217
0804-142,Mariana Is-C Pacific,Supply Reef,20.13,145.1
0804-141,Mariana Is-C Pacific,Ahyi,20.42,145.03
0804-139,Mariana Is-C Pacific,Unnamed,20.3,143.2
