Event ID,Source,Year of Date Time,Latitude,Longitude,Max. Magnitude
2010122040,NEI,1899,28.412,59.18,6.7
2010121540,NEI,1899,-7.268,128.786,6
2010121340,NEI,1899,-6.534,155.647,6.2
2010120840,NEI,1899,-56.412,-25.741,6.3
2010120240,NEI,1899,-6.001,149.977,6.6
2010120140,NEI,1899,-15.888,-178.956,6.1
2010113040,NEI,1899,28.349,139.187,6.8
2010112340,NEI,1899,-5.959,148.966,6.1
2010112140,NEI,1899,-54.967,-131.479,6
2010111040,NEI,1899,-45.464,96.394,6.5
2010110340,NEI,1899,-12.5415,-20.1045,6.1
2010103040,NEI,1899,-56.586,-142.292,6.4
2010102540,NEI,1899,-3.2225,100.227,7.8
2010102140,NEI,1899,24.696,-109.156,6.7
2010100840,NEI,1899,27.1025,-23.572,6.4
2010100840,AEI,1899,51.287,-175.18,6
2010100440,NEI,1899,24.27,125.154,6.3
2010092940,NEI,1899,-4.936,133.736,7
2010092640,NEI,1899,-5.314,133.917,6
2010091740,NEI,1899,36.443,70.774,6.3
2010090940,NEI,1899,-37.034,-73.412,6.2
2010090840,NEI,1899,-20.671,169.818,6.3
2010090740,NEI,1899,-15.879,-179.306,6.3
2010090440,NEI,1899,-17.368,-173.999,6.1
2010090340,NEI,1899,-43.522,171.83,7
2010090340,AEI,1899,51.451,-175.87,6.5
2010082440,NEI,1899,18.795,-107.193,6.2
2010082040,NEI,1899,-6.57,154.246,6.1
2010081840,NEI,1899,12.234,141.514,6.3
2010081640,NEI,1899,-19.279,-56.5895,6.3
2010081540,NEI,1899,-5.692,148.342,6.3
2010081441,NEI,1899,12.273,141.429,6.6
2010081440,NEI,1899,12.348,141.487,6.2
2010081340,NEI,1899,12.487,141.474,6.9
2010081240,NEI,1899,-1.266,-77.306,7.1
2010081040,NEI,1899,-17.541,168.069,7.3
2010080441,NEI,1899,45.98,153.175,6
2010080440,NEI,1899,3.31875,-14.57675,7
2010080340,NEI,1899,1.239,126.213,6.3
2010073040,NEI,1899,52.498,159.843,6.3
2010072940,NEI,1899,6.548,123.222,6.6
2010072440,NEI,1899,6.218,123.519,6.6
2010072341,NEI,1899,6.776,123.259,7.5
2010072340,NEI,1899,6.6075,123.4445,7.6
2010072240,NEI,1899,-15.132,168.162,6.1
2010072140,NEI,1899,3.039,128.222,6.1
2010072041,NEI,1899,-5.902,150.712,6.3
2010071843,NEI,1899,52.815,-169.719,6
2010071842,NEI,1899,-5.931,150.59,7.4
2010071841,NEI,1899,-5.966,150.428,6.9
2010071840,NEI,1899,52.876,-169.848,6.7
2010071440,NEI,1899,-38.067,-73.31,6.6
2010071240,NEI,1899,-22.146,-68.216,6.3
