Id,Name,Type,Latitude Deg,Longitude Deg
342940,Fish Lakes Northeast Airstrip 1,small_airport,61.978107,-150.873782
342941,Fish Lakes Northeast Airstrip 2,small_airport,61.981207,-150.883858
342942,Glacier Park Airport,small_airport,61.789395,-147.786525
342987,Accord Airport,small_airport,41.80114,-74.21477
342995,Adobe Mountain Airport,small_airport,34.71576,-117.66976
342996,El Mirage Valley Landing Strip,small_airport,34.68552,-117.6367
342997,Evans Airstrip,small_airport,34.65877,-117.63597
342998,Hamilton Airstrip,small_airport,34.65574,-117.63375
343005,Hewitson Airport,small_airport,35.90928,-120.06358
343006,Reef Station Airport,small_airport,35.9119,-120.0601
343011,Ash Springs Landing Strip,small_airport,37.45145,-115.17342
343020,Kramer Junction Airstrip,small_airport,34.99831,-117.55786
343037,Wrights Airfield,small_airport,44.26985,-123.0085
343050,Blanchard Mountain Landing Zone,small_airport,48.59223,-122.41993
343051,Gilks Ranch Airport,small_airport,33.12738,-112.6669
343052,Woods Road West Airstrip,small_airport,33.12692,-112.67564
343071,Bumpy Airstrip,small_airport,39.14763,-119.48718
343074,Calpine Airport,small_airport,39.66152,-120.41848
343094,Oak Ridge Airport,small_airport,29.93739,-98.86126
343101,Ballinger Canyon Airport,small_airport,34.88565,-119.46628
343120,Mud Springs Ranch Airport,small_airport,32.68097,-108.9632
343123,Shepp Ranch Airstrip,small_airport,45.43976,-115.66458
343125,Campbells Ferry Airstrip,small_airport,45.48703,-115.33065
343141,Chadbourne Ranch Airport,small_airport,32.0228,-100.2493
343142,Colt Mesa / Silver Falls Airstrip,small_airport,37.73983,-111.08816
10213,Bob's Field,small_airport,45.959746,-121.486473
343161,Galvan Ranch Airport,small_airport,28.04846,-99.67192
343167,Morse Field,small_airport,46.00768,-68.44212
343209,Wide Load Airstrip,small_airport,39.11422,-119.11104
343257,Bob Jenkins,small_airport,40.43,-82.7
343266,Defuniak Springs Auxiliary Airfield,small_airport,30.70265,-86.27122
343269,Rock Hill LZ Airport,small_airport,30.56995,-86.12963
343281,Bell Road Airstrip,small_airport,33.6293,-112.77434
343301,Kehley Ranch Airport,small_airport,28.38274,-98.88951
343379,McAllister Wash Airstrip,small_airport,33.06527,-114.4313
343381,Yuma Wash East Airstrip,small_airport,33.16201,-114.48147
343382,Mojave Wash Airstrip,small_airport,33.31135,-114.36561
343384,Senisa Ranch Airport,small_airport,29.12863,-99.24882
343389,Rocking Diamond G Ranch Airstrip,small_airport,32.85138,-110.65631
343390,El Ranchito Aravaipa Landing Field,small_airport,32.83776,-110.69308
343395,Turnbow Airstrip,small_airport,33.01451,-112.40322
343396,Francisco Grande Gliderport,small_airport,32.88374,-111.84774
5629,Yokota Air Base,large_airport,35.748501,139.348007
5673,Kadena Air Base,large_airport,26.351667,127.769444
5089,King Abdulaziz Air Base,large_airport,26.2654,50.152
41136,Lipetsk Air Base,large_airport,52.634998,39.445
19517,Camarillo International Airport,large_airport,34.213699,-119.094002
3364,Joint Base Andrews,large_airport,38.810799,-76.866997
6095,Aeropuerto Internacional Dr. Augusto Roberto Fuster,large_airport,-22.640946,-55.832005
6093,Aeropuerto Internacional Dr. Luis Maria Arga̱a,large_airport,-22.032463,-60.620284
2935,Benguela 17th of September Airport,medium_airport,-12.609,13.4037
2940,Kuito Airport,medium_airport,-12.404600143,16.947399139
2955,Xangongo Airport,medium_airport,-16.755399704,14.965299606
2948,Porto Amboim Airport,medium_airport,-10.722000122,13.765500069
2951,Sumbe Airport,medium_airport,-11.167900085,13.847499847
2949,Saurimo Airport,medium_airport,-9.689069748,20.431900024
2953,Luena Airport,medium_airport,-11.768099785,19.897699356
2954,Uige Airport,medium_airport,-7.603069782,15.027799606
2865,Sua Pan Airport,medium_airport,-20.5534,26.115801
3055,Buta Zega Airport,medium_airport,2.818058,24.793997
3062,Kamina Air Base,medium_airport,-8.64202,25.252899
3041,Ndolo Airport,medium_airport,-4.326660156,15.327500343
344674,Boma Lukandu International Airport,medium_airport,-5.80543,12.99582
3050,Lisala Airport,medium_airport,2.17066,21.496901
3056,Bukavu Kavumu Airport,medium_airport,-2.30898,28.8088
2874,Berb̩rati Airport,medium_airport,4.221580029,15.786399841
2870,Ouesso Airport,medium_airport,1.615990043,16.037900925
323021,Oyo Ollombo Airport,medium_airport,-1.226666,15.91
2869,Owando Airport,medium_airport,-0.531350017,15.950099945
2101,San Pedro Airport,medium_airport,4.746719837,-6.660820007
2100,Man Airport,medium_airport,7.272069931,-7.587359905
2098,Daloa Airport,medium_airport,6.792809963,-6.473189831
2099,Korhogo Airport,medium_airport,9.38718,-5.55666
2102,Yamoussoukro Airport,medium_airport,6.903170109,-5.365580082
2888,Bamenda Airport,medium_airport,6.039239883,10.122599602
2884,Foumban Nkounja Airport,medium_airport,5.636919975,10.750800133
2887,Bafoussam Airport,medium_airport,5.536920071,10.354599953
2881,Tiko Airport,medium_airport,4.089190006,9.360529900
2082,Laghouat - Molay Ahmed Medeghri Airport,medium_airport,33.7644,2.92834
2052,Boufarik Air Base,medium_airport,36.545799,2.87611
2047,Blida Airport,medium_airport,36.503601,2.81417
354383,Amguid Regional Airport,medium_airport,26.393417,5.325419
2065,Abdelhafid Boussouf Bou Chekif Airport,medium_airport,35.341099,1.46315
2048,Bou Saada Airport,medium_airport,35.3325,4.20639
2074,Ghriss Airport,medium_airport,35.207699,0.147142
2069,Oran Tafraoui Airport,medium_airport,35.5424,-0.532278
2058,Mecheria Airport,medium_airport,33.535900116,-0.242353007
2059,Relizane Airport,medium_airport,35.752955,0.625877
2357,Berenice International Airport / Banas Cape Air Base,medium_airport,23.989802,35.465047
3189,Jiyanklis Air Base,medium_airport,30.819799,30.1912
2368,Gebel El Basur Air Base,medium_airport,30.540501,30.5602
3182,Bani Sweif Air Base,medium_airport,29.20224,31.013471
3179,Almaza Air Force Base,medium_airport,30.091702,31.359739
2356,Capital International Airport,medium_airport,30.074293,31.84296
